epoch,train_loss,val_loss,train_acc,val_acc
1,3.2720372870161727,3.439740486042474,0.34797297297297297,0.3010752688172043
2,3.321957420658421,3.3130137817834013,0.3344594594594595,0.3118279569892473
3,2.9906685094575622,3.2505669311810563,0.3716216216216216,0.3333333333333333
4,3.092991203875155,3.209867828635759,0.36486486486486486,0.34408602150537637
5,3.033048372010927,2.733481828884412,0.35135135135135137,0.3763440860215054
6,2.565529623547116,2.4588440041388235,0.40878378378378377,0.3978494623655914
7,2.3766082235284753,2.2830045018144833,0.375,0.4731182795698925
8,1.8607828133815043,2.0362543688025525,0.5067567567567568,0.45161290322580644
9,1.9291296649623562,1.7498815264753116,0.47635135135135137,0.4946236559139785
10,1.7841602241670764,1.6647838751475017,0.4831081081081081,0.5053763440860215
11,1.6051491756696958,1.5410783399817765,0.4797297297297297,0.5161290322580645
12,1.4471277610675708,1.4807202623736473,0.5777027027027027,0.5268817204301075
13,1.3470827727704435,1.4192363190394577,0.5540540540540541,0.5591397849462365
14,1.141510154749896,1.498483084863232,0.625,0.5161290322580645
15,1.1236659513937461,1.3210264675078853,0.6182432432432432,0.5483870967741935
