epoch,train_loss,val_loss,train_acc,val_acc
1,3.679800199640208,2.808382426538775,0.3275862068965517,0.3655913978494624
2,3.60772375567206,3.2601978202019968,0.3137931034482759,0.3655913978494624
3,3.3913510437669423,3.264461673716063,0.3482758620689655,0.3870967741935484
4,3.2049603396448596,3.084103568907707,0.36551724137931035,0.3655913978494624
5,3.3573462905554936,2.7629139320824736,0.33793103448275863,0.3333333333333333
6,2.7889970565664357,2.546010330159177,0.3724137931034483,0.44086021505376344
7,2.417713063338707,2.3719879709264284,0.3931034482758621,0.44086021505376344
8,2.08053366891269,2.2111375101151003,0.43103448275862066,0.46236559139784944
9,1.966182183705527,2.1069221394036406,0.4586206896551724,0.4946236559139785
10,2.074815820825511,2.041067728432276,0.4068965517241379,0.4946236559139785
11,1.566474852890804,1.9362463310200682,0.5241379310344828,0.4946236559139785
12,1.4155972813737803,1.990629606349494,0.5137931034482759,0.4838709677419355
13,1.5977100438085097,1.9712374005266415,0.5275862068965518,0.46236559139784944
14,1.3751448302433409,1.8705365734715615,0.5724137931034483,0.4946236559139785
15,1.2470767662442963,1.6519035241937126,0.5862068965517241,0.5053763440860215
