epoch,train_loss,val_loss,train_acc,val_acc
1,3.5146713790608874,3.306573288415068,0.33955223880597013,0.3333333333333333
2,3.3929149997768118,3.3613901163942073,0.3283582089552239,0.3548387096774194
3,3.3987732467366687,3.329286600953789,0.3283582089552239,0.3225806451612903
4,3.341768335940233,3.2992274889381985,0.34328358208955223,0.3655913978494624
5,3.435463126025983,2.8478089276180474,0.3246268656716418,0.34408602150537637
6,2.7821641697812436,2.6391716669964533,0.3656716417910448,0.3763440860215054
7,2.3873643412518857,2.530533275296611,0.3843283582089552,0.40860215053763443
8,2.1632645058987747,2.2721549080264185,0.40671641791044777,0.3978494623655914
9,2.0450310813846873,2.256306703372668,0.41044776119402987,0.3978494623655914
10,1.6720705405989689,2.0638826636857885,0.5,0.41935483870967744
11,1.6748706209125803,1.9766978089527418,0.503731343283582,0.44086021505376344
12,1.574943001590558,1.9207075693274056,0.5559701492537313,0.43010752688172044
13,1.6656079683730851,1.8164990384091613,0.4925373134328358,0.44086021505376344
14,1.368671652096421,1.6905539856162122,0.5335820895522388,0.44086021505376344
15,1.4159876419537103,1.549019831483082,0.5410447761194029,0.4731182795698925
